1.279: [GC1.280: [DefNew: 447K->63K(448K), 0.0008390 secs] 18362K->18158K(1048512K), 0.0017550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.291: [GC1.291: [DefNew: 447K->63K(448K), 0.0017480 secs] 18542K->18297K(1048512K), 0.0018740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.302: [GC1.302: [DefNew: 447K->63K(448K), 0.0008140 secs] 18681K->18436K(1048512K), 0.0008770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.310: [GC1.310: [DefNew: 447K->64K(448K), 0.0005220 secs] 18820K->18538K(1048512K), 0.0005610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.320: [GC1.320: [DefNew: 448K->63K(448K), 0.0006700 secs] 18922K->18639K(1048512K), 0.0007260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.330: [GC1.330: [DefNew: 447K->64K(448K), 0.0005650 secs] 19023K->18724K(1048512K), 0.0006100 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.339: [GC1.339: [DefNew: 448K->63K(448K), 0.0006540 secs] 19108K->18852K(1048512K), 0.0007090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.350: [GC1.350: [DefNew: 447K->64K(448K), 0.0006150 secs] 19236K->18940K(1048512K), 0.0006710 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.360: [GC1.360: [DefNew: 448K->64K(448K), 0.0007000 secs] 19324K->19056K(1048512K), 0.0007670 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.371: [GC1.371: [DefNew: 448K->64K(448K), 0.0006440 secs] 19440K->19157K(1048512K), 0.0007050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.379: [GC1.379: [DefNew: 447K->63K(448K), 0.0006110 secs] 19540K->19277K(1048512K), 0.0006670 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.389: [GC1.389: [DefNew: 447K->63K(448K), 0.0006370 secs] 19661K->19373K(1048512K), 0.0006950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.399: [GC1.399: [DefNew: 447K->63K(448K), 0.0006120 secs] 19757K->19485K(1048512K), 0.0006660 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.409: [GC1.409: [DefNew: 447K->64K(448K), 0.0006340 secs] 19869K->19577K(1048512K), 0.0006950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.419: [GC1.419: [DefNew: 447K->63K(448K), 0.0006050 secs] 19961K->19699K(1048512K), 0.0006610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.429: [GC1.429: [DefNew: 447K->64K(448K), 0.0006460 secs] 20083K->19799K(1048512K), 0.0007070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.438: [GC1.438: [DefNew: 448K->63K(448K), 0.0006020 secs] 20183K->19911K(1048512K), 0.0006610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.449: [GC1.449: [DefNew: 447K->63K(448K), 0.0009420 secs] 20295K->19996K(1048512K), 0.0010640 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.459: [GC1.459: [DefNew: 447K->63K(448K), 0.0013520 secs] 20380K->20212K(1048512K), 0.0014850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.470: [GC1.470: [DefNew: 447K->63K(448K), 0.0007210 secs] 20596K->20329K(1048512K), 0.0007850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.480: [GC1.480: [DefNew: 447K->63K(448K), 0.0006930 secs] 20713K->20442K(1048512K), 0.0007540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.490: [GC1.490: [DefNew: 447K->64K(448K), 0.0006810 secs] 20826K->20553K(1048512K), 0.0007390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.501: [GC1.501: [DefNew: 448K->64K(448K), 0.0007550 secs] 20937K->20672K(1048512K), 0.0008120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.511: [GC1.511: [DefNew: 448K->63K(448K), 0.0008570 secs] 21056K->20821K(1048512K), 0.0009250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.520: [GC1.520: [DefNew: 447K->64K(448K), 0.0007150 secs] 21205K->20934K(1048512K), 0.0007710 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.530: [GC1.530: [DefNew: 448K->64K(448K), 0.0006650 secs] 21318K->21082K(1048512K), 0.0007160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.540: [GC1.541: [DefNew: 448K->63K(448K), 0.0008160 secs] 21466K->21204K(1048512K), 0.0008910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.551: [GC1.551: [DefNew: 447K->63K(448K), 0.0007710 secs] 21588K->21322K(1048512K), 0.0008320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.561: [GC1.561: [DefNew: 447K->63K(448K), 0.0006700 secs] 21706K->21449K(1048512K), 0.0007270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.571: [GC1.571: [DefNew: 447K->63K(448K), 0.0006520 secs] 21833K->21552K(1048512K), 0.0007130 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.579: [GC1.579: [DefNew: 447K->63K(448K), 0.0007790 secs] 21936K->21682K(1048512K), 0.0008390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.591: [GC1.591: [DefNew: 447K->63K(448K), 0.0008950 secs] 22066K->21810K(1048512K), 0.0009500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.601: [GC1.601: [DefNew: 447K->63K(448K), 0.0007500 secs] 22194K->21924K(1048512K), 0.0008040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.611: [GC1.611: [DefNew: 447K->64K(448K), 0.0007080 secs] 22308K->22054K(1048512K), 0.0007570 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.621: [GC1.621: [DefNew: 448K->63K(448K), 0.0006790 secs] 22438K->22162K(1048512K), 0.0007370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.631: [GC1.631: [DefNew: 447K->63K(448K), 0.0007460 secs] 22546K->22288K(1048512K), 0.0008050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.642: [GC1.642: [DefNew: 447K->64K(448K), 0.0010750 secs] 22672K->22414K(1048512K), 0.0012320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.651: [GC1.651: [DefNew: 448K->64K(448K), 0.0007450 secs] 22798K->22535K(1048512K), 0.0008000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
